name,n_rows,n features,time,iterations,loss,grad_norm
sklearn,768,8,0.01,0,372.2271,0.03853544328265988
GD with Armijo LS,768,8,0.4,109,372.2271,8.757501894200369e-05
CG with Wolfe LS,768,8,1.3,40,372.2271,3.0057156312517438e-05
sklearn,690,14,0.01,0,228.4068,0.050528114061172844
GD with Armijo LS,690,14,1.82,548,228.4064,9.463864579261078e-05
CG with Wolfe LS,690,14,4.07,111,228.4064,9.785647993772676e-05
sklearn,1000,24,0.01,0,487.2503,0.13429978759916353
GD with Armijo LS,1000,24,1.45,353,487.2501,9.708217030900089e-05
CG with Wolfe LS,1000,24,2.48,55,487.2501,9.883235291520847e-05
sklearn,1605,119,0.02,0,516.3577,0.39920570201869293
GD with Armijo LS,1605,119,19.19,2724,516.3439,9.992063049159001e-05
CG with Wolfe LS,1605,119,10.6,158,516.3439,8.590564340317266e-05
sklearn,2000,500,0.02,0,1307.0683,0.8206521901286312
GD with Armijo LS,2000,500,0.32,14,1307.0681,9.461223918383372e-05
CG with Wolfe LS,2000,500,2.65,14,1307.0681,3.4785846724181065e-05
sklearn,11055,68,0.06,0,1655.9555,3.301750186167118
GD with Armijo LS,11055,68,69.04,4060,1655.0573,9.940250554705673e-05
CG with Wolfe LS,11055,68,30.19,251,1655.0573,9.401281261431006e-05
sklearn,6000,5000,4.24,0,111.4953,7.3142784789670205
GD with Armijo LS,6000,5000,4495.29,9336,111.1579,9.928812556670908e-05
CG with Wolfe LS,6000,5000,2235.02,572,111.1579,9.040471810776193e-05
