name,n_rows,n features,n_threads,time,grad_time,loss_time,speedup,grad_speedup,loss_speedup,efficiency,grad_efficiency,loss_efficiency,iterations,loss,grad_norm
sklearn,768,8,1,0.02,0.02,0.02,1,1,1,1,1,1,0,363.0231,0.07942937385117431
GD with Armijo LS,768,8,1,4.91,0.7,4.21,1,1,1,1,1,1,766,363.0228,7.815890716984368e-07
CG with Wolfe LS,768,8,1,2.19,0.74,1.46,1,1,1,1,1,1,41,363.0228,8.692096237525402e-05
GD CUDA TPB 32,768,8,32,5.63,1.01,4.61,0.87,0.69,0.91,0.0175,0.0138,0.0183,766,363.0228,9.949959638172405e-05
CG CUDA TPB 32,768,8,32,3.57,1.43,2.15,0.61,0.52,0.68,0.0123,0.0104,0.0136,44,363.0228,7.749526848824537e-05
GD CUDA TPB 64,768,8,64,6.79,1.03,5.76,0.72,0.68,0.73,0.0278,0.0261,0.0281,766,363.0228,9.949959638172405e-05
CG CUDA TPB 64,768,8,64,3.44,1.2,2.24,0.64,0.62,0.65,0.0246,0.0237,0.025,44,363.0228,7.749526848824537e-05
GD CUDA TPB 128,768,8,128,6.44,0.84,5.6,0.76,0.84,0.75,0.0545,0.0597,0.0537,766,363.0228,9.949959638172405e-05
CG CUDA TPB 128,768,8,128,3.25,1.0,2.25,0.68,0.74,0.65,0.0482,0.0526,0.0462,44,363.0228,7.749526848824537e-05
GD CUDA TPB 256,768,8,256,5.88,0.66,5.22,0.83,1.06,0.81,0.1044,0.1331,0.1008,766,363.0228,9.949959638172405e-05
CG CUDA TPB 256,768,8,256,2.81,0.76,2.05,0.78,0.97,0.71,0.0976,0.1213,0.0889,44,363.0228,7.749526848824537e-05
GD CUDA TPB 512,768,8,512,7.57,0.66,6.9,0.65,1.05,0.61,0.1081,0.1752,0.1016,766,363.0228,9.949959638172405e-05
CG CUDA TPB 512,768,8,512,3.51,0.78,2.73,0.63,0.95,0.53,0.1043,0.1582,0.0889,44,363.0228,7.749526848824537e-05
GD CUDA TPB 1024,768,8,1024,16.66,1.19,15.47,0.29,0.59,0.27,0.0737,0.1465,0.0681,766,363.0228,9.949959638172405e-05
