name,n_rows,n features,n_threads,time,grad_time,loss_time,speedup,grad_speedup,loss_speedup,efficiency,grad_efficiency,loss_efficiency,iterations,loss,grad_norm
sklearn,768,8,1,0.02,0.017275094985961914,0.017275094985961914,1,1,1,1,1,1,0,363.0231,0.07942937385117431
GD with Armijo LS,768,8,1,5.35,0.72,4.63,1.0,1.0,1.0,1,1,1,766,363.0228,7.815890716984368e-07
CG with Wolfe LS,768,8,1,2.89,0.91,1.98,1.0,1.0,1.0,1,1,1,41,363.0228,8.692096237525402e-05
GD CUDA TPB 32,768,8,32,5.67,1.01,4.66,0.94,0.71,0.99,0.0189,0.0143,0.0199,766,363.0228,9.949959638172405e-05
CG CUDA TPB 32,768,8,32,3.13,1.2,1.93,0.92,0.76,1.02,0.0185,0.0152,0.0205,44,363.0228,7.749526848824537e-05
GD CUDA TPB 64,768,8,64,5.67,0.89,4.78,0.94,0.82,0.97,0.0363,0.0314,0.0372,766,363.0228,9.949959638172405e-05
CG CUDA TPB 64,768,8,64,2.9,1.03,1.87,1.0,0.88,1.06,0.0384,0.034,0.0408,44,363.0228,7.749526848824537e-05
GD CUDA TPB 128,768,8,128,7.05,0.94,6.12,0.76,0.77,0.76,0.0542,0.0552,0.054,766,363.0228,9.949959638172405e-05
CG CUDA TPB 128,768,8,128,3.53,1.1,2.43,0.82,0.83,0.81,0.0584,0.0591,0.0582,44,363.0228,7.749526848824537e-05
GD CUDA TPB 256,768,8,256,5.93,0.67,5.26,0.9,1.09,0.88,0.1129,0.1358,0.1099,766,363.0228,9.949959638172405e-05
CG CUDA TPB 256,768,8,256,2.92,0.8,2.12,0.99,1.13,0.94,0.1238,0.1418,0.1169,44,363.0228,7.749526848824537e-05
GD CUDA TPB 512,768,8,512,7.59,0.67,6.91,0.71,1.07,0.67,0.1175,0.1787,0.1116,766,363.0228,9.949959638172405e-05
CG CUDA TPB 512,768,8,512,3.56,0.8,2.76,0.81,1.14,0.72,0.1353,0.1896,0.1195,44,363.0228,7.749526848824537e-05
