name,n_rows,n features,n_threads,time,speedup,efficiency,iterations,loss,grad_norm
sklearn,768,8,1,0.03,1,1,0,363.0231,0.07942937385117431
GD with Armijo LS,768,8,1,6.02,1,1,766,363.0228,7.815890716984368e-07
CG with Wolfe LS,768,8,1,2.27,1,1,41,363.0228,8.692096237525402e-05
GD CUDA TPB 32,768,8,32,5.42,1.11,0.0006942427735324981,766,363.0228,9.949959638172405e-05
CG CUDA TPB 32,768,8,32,3.51,0.65,0.0004044120557502133,44,363.0228,7.749526848824537e-05
GD CUDA TPB 64,768,8,64,5.42,1.11,0.000667964580017246,766,363.0228,9.949959638172405e-05
CG CUDA TPB 64,768,8,64,2.9,0.78,0.00046976880210475275,44,363.0228,7.749526848824537e-05
GD CUDA TPB 128,768,8,128,5.95,1.01,0.0005645761104234446,766,363.0228,9.949959638172405e-05
CG CUDA TPB 128,768,8,128,3.42,0.66,0.00037028529539362995,44,363.0228,7.749526848824537e-05
GD CUDA TPB 256,768,8,256,5.98,1.01,0.0004913871024172591,766,363.0228,9.949959638172405e-05
CG CUDA TPB 256,768,8,256,2.86,0.79,0.0003877832045577487,44,363.0228,7.749526848824537e-05
GD CUDA TPB 512,768,8,512,7.68,0.78,0.00025508314039891463,766,363.0228,9.949959638172405e-05
CG CUDA TPB 512,768,8,512,3.6,0.63,0.00020539003481035245,44,363.0228,7.749526848824537e-05
GD CUDA TPB 1024,768,8,1024,14.88,0.4,9.878884772037395e-05,766,363.0228,9.949959638172405e-05
CG CUDA TPB 1024,768,8,1024,7.81,0.29,7.093674849015358e-05,44,363.0228,7.749526848824537e-05
sklearn,1000,24,1,0.05,1,1,0,487.2503,0.13429978982206178
GD with Armijo LS,1000,24,1,6.61,1,1,391,487.2501,9.657162963892564e-05
CG with Wolfe LS,1000,24,1,13.7,1,1,67,487.2501,7.562976555809992e-05
GD CUDA TPB 32,1000,24,32,6.39,1.03,0.0004897214502612369,391,487.2501,9.657162968092073e-05
CG CUDA TPB 32,1000,24,32,12.32,1.11,0.0005266803703331154,67,487.2501,7.563773922653676e-05
GD CUDA TPB 64,1000,24,64,6.52,1.01,0.0004660538985265947,391,487.2501,9.657162968092073e-05
CG CUDA TPB 64,1000,24,64,13.8,0.99,0.0004562066052756573,67,487.2501,7.563773922653676e-05
GD CUDA TPB 128,1000,24,128,6.94,0.95,0.0004135012527449547,391,487.2501,9.657162968092073e-05
CG CUDA TPB 128,1000,24,128,12.01,1.14,0.0004953640678289524,67,487.2501,7.563773922653676e-05
GD CUDA TPB 256,1000,24,256,5.33,1.24,0.0004841187504616348,391,487.2501,9.657162968092073e-05
CG CUDA TPB 256,1000,24,256,12.33,1.11,0.0004341364358268992,67,487.2501,7.563773922653676e-05
GD CUDA TPB 512,1000,24,512,6.45,1.02,0.000333326558805186,391,487.2501,9.657162968092073e-05
CG CUDA TPB 512,1000,24,512,13.11,1.04,0.0003401023478309729,67,487.2501,7.563773922653676e-05
GD CUDA TPB 1024,1000,24,1024,10.31,0.64,0.00015638326481015022,391,487.2501,9.657162968092073e-05
CG CUDA TPB 1024,1000,24,1024,19.9,0.69,0.0001680610543464661,67,487.2501,7.563773922653676e-05
sklearn,1000,60,1,0.05,1,1,0,563.8379,0.21941292192624365
GD with Armijo LS,1000,60,1,0.58,1,1,30,563.8378,9.734909966940701e-05
CG with Wolfe LS,1000,60,1,2.16,1,1,11,563.8378,5.8373061128790775e-05
GD CUDA TPB 32,1000,60,32,0.57,1.0,0.00046118523631988583,30,563.8378,9.73490996475436e-05
CG CUDA TPB 32,1000,60,32,2.43,0.89,0.00040807278584325174,11,563.8378,5.837306104455307e-05
